k,cluster,n,dominant_lexicon_emotion,prevalence_Happy,prevalence_Angry,prevalence_Surprise,prevalence_Sad,prevalence_Fear
3,C0,5192,Fear,0.0525808936825886,0.10824345146379044,0.11806625577812019,0.1612095531587057,0.39271956856702617
3,C1,4964,Fear,0.1200644641418211,0.05439161966156326,0.1412167606768735,0.1708299758259468,0.354754230459307
3,C2,4617,Fear,0.0825211176088369,0.042668399393545595,0.1282217890405025,0.11565951916829109,0.462204894953433
5,C0,3461,Fear,0.1294423577000867,0.04680728113262063,0.152845998266397,0.18809592603293845,0.3666570355388616
5,C1,3050,Fear,0.07836065573770491,0.043934426229508196,0.13409836065573771,0.11409836065573771,0.4554098360655738
5,C2,1555,Fear,0.05852090032154341,0.08102893890675242,0.09003215434083602,0.1581993569131833,0.2012861736334405
5,C3,3686,Fear,0.08654367878459034,0.074877916440586,0.12289744981009224,0.16033640803038524,0.43760173629951166
5,C4,3021,Fear,0.0506454816285998,0.10956636875206885,0.12413108242303873,0.1267792121813969,0.4468718967229394
