k,cluster,n,dominant_lexicon_sentiment,dominant_share,share_negative,share_neutral,share_positive
3,C0,5192,negative,0.6128659476117103,0.6128659476117103,0.1891371340523883,0.19799691833590138
3,C1,4964,positive,0.46897663174858983,0.33178887993553585,0.1992344883158743,0.46897663174858983
3,C2,4617,neutral,0.42061944985921595,0.21810699588477367,0.42061944985921595,0.3612735542560104
5,C0,3461,positive,0.5151690262929789,0.3163825483964172,0.16844842531060386,0.5151690262929789
5,C1,3050,neutral,0.41180327868852457,0.23770491803278687,0.41180327868852457,0.3504918032786885
5,C2,1555,neutral,0.4077170418006431,0.3382636655948553,0.4077170418006431,0.2540192926045016
5,C3,3686,negative,0.3491589799240369,0.3491589799240369,0.3027672273467173,0.34807379272924577
5,C4,3021,negative,0.7292287322078782,0.7292287322078782,0.10724925521350546,0.16352201257861634
