event_id,dataset,cryptocurrency,event_date,n_tweets,cluster,count,percentage
E10,W,vertcoin,2019-11-30,457,C0,229,50.10940919037199
E10,W,vertcoin,2019-11-30,457,C1,184,40.26258205689278
E10,W,vertcoin,2019-11-30,457,C2,44,9.62800875273523
E10,A,vertcoin,2019-11-30,378,C0,218,57.67195767195767
E10,A,vertcoin,2019-11-30,378,C1,131,34.65608465608466
E10,A,vertcoin,2019-11-30,378,C2,29,7.671957671957672
E10,B,vertcoin,2019-11-30,65,C0,5,7.6923076923076925
E10,B,vertcoin,2019-11-30,65,C1,50,76.92307692307692
E10,B,vertcoin,2019-11-30,65,C2,10,15.384615384615385
E11,W,bitcoingold,2020-01-22,941,C0,612,65.03719447396386
E11,W,bitcoingold,2020-01-22,941,C1,86,9.139213602550479
E11,W,bitcoingold,2020-01-22,941,C2,243,25.823591923485655
E11,A,bitcoingold,2020-01-22,594,C0,520,87.54208754208754
E11,A,bitcoingold,2020-01-22,594,C1,19,3.1986531986531985
E11,A,bitcoingold,2020-01-22,594,C2,55,9.25925925925926
E11,B,bitcoingold,2020-01-22,293,C0,40,13.651877133105803
E11,B,bitcoingold,2020-01-22,293,C1,95,32.42320819112628
E11,B,bitcoingold,2020-01-22,293,C2,158,53.924914675767916
E12,W,bitcoingold,2020-07-01,712,C0,344,48.31460674157304
E12,W,bitcoingold,2020-07-01,712,C1,236,33.146067415730336
E12,W,bitcoingold,2020-07-01,712,C2,132,18.53932584269663
E12,A,bitcoingold,2020-07-01,218,C0,192,88.07339449541284
E12,A,bitcoingold,2020-07-01,218,C1,5,2.293577981651376
E12,A,bitcoingold,2020-07-01,218,C2,21,9.63302752293578
E12,B,bitcoingold,2020-07-01,482,C0,180,37.344398340248965
E12,B,bitcoingold,2020-07-01,482,C1,187,38.79668049792531
E12,B,bitcoingold,2020-07-01,482,C2,115,23.858921161825727
E13,W,ethereum_classic,2020-07-28,1691,C0,703,41.57303370786517
E13,W,ethereum_classic,2020-07-28,1691,C1,579,34.2400946185689
E13,W,ethereum_classic,2020-07-28,1691,C2,409,24.18687167356594
E13,A,ethereum_classic,2020-07-28,900,C0,492,54.666666666666664
E13,A,ethereum_classic,2020-07-28,900,C1,338,37.55555555555556
E13,A,ethereum_classic,2020-07-28,900,C2,70,7.777777777777778
E13,B,ethereum_classic,2020-07-28,246,C0,33,13.414634146341463
E13,B,ethereum_classic,2020-07-28,246,C1,67,27.235772357723576
E13,B,ethereum_classic,2020-07-28,246,C2,146,59.34959349593496
E14,W,ethereum_classic,2020-08-04,1649,C0,636,38.568829593693145
E14,W,ethereum_classic,2020-08-04,1649,C1,675,40.933899332929045
E14,W,ethereum_classic,2020-08-04,1649,C2,338,20.497271073377803
E14,A,ethereum_classic,2020-08-04,967,C0,532,55.01551189245088
E14,A,ethereum_classic,2020-08-04,967,C1,341,35.263702171664946
E14,A,ethereum_classic,2020-08-04,967,C2,94,9.720785935884178
E14,B,ethereum_classic,2020-08-04,215,C0,30,13.953488372093023
E14,B,ethereum_classic,2020-08-04,215,C1,70,32.55813953488372
E14,B,ethereum_classic,2020-08-04,215,C2,115,53.48837209302326
E15,W,ethereum_classic,2020-08-28,1121,C0,383,34.16592328278323
E15,W,ethereum_classic,2020-08-28,1121,C1,512,45.67350579839429
E15,W,ethereum_classic,2020-08-28,1121,C2,226,20.16057091882248
E15,A,ethereum_classic,2020-08-28,706,C0,350,49.57507082152974
E15,A,ethereum_classic,2020-08-28,706,C1,286,40.50991501416431
E15,A,ethereum_classic,2020-08-28,706,C2,70,9.91501416430595
E15,B,ethereum_classic,2020-08-28,172,C0,41,23.837209302325583
E15,B,ethereum_classic,2020-08-28,172,C1,67,38.95348837209303
E15,B,ethereum_classic,2020-08-28,172,C2,64,37.2093023255814
E16,W,bitcoin_sv,2021-06-23,2173,C0,459,21.12287160607455
E16,W,bitcoin_sv,2021-06-23,2173,C1,1366,62.86240220892775
E16,W,bitcoin_sv,2021-06-23,2173,C2,348,16.0147261849977
E16,A,bitcoin_sv,2021-06-23,96,C0,57,59.375
E16,A,bitcoin_sv,2021-06-23,96,C1,24,25.0
E16,A,bitcoin_sv,2021-06-23,96,C2,15,15.625
E16,B,bitcoin_sv,2021-06-23,1625,C0,488,30.03076923076923
E16,B,bitcoin_sv,2021-06-23,1625,C1,757,46.58461538461538
E16,B,bitcoin_sv,2021-06-23,1625,C2,380,23.384615384615383
E17,W,bitcoin_sv,2021-08-02,1137,C0,585,51.45118733509235
E17,W,bitcoin_sv,2021-08-02,1137,C1,399,35.09234828496042
E17,W,bitcoin_sv,2021-08-02,1137,C2,153,13.45646437994723
E17,A,bitcoin_sv,2021-08-02,524,C0,440,83.96946564885496
E17,A,bitcoin_sv,2021-08-02,524,C1,48,9.16030534351145
E17,A,bitcoin_sv,2021-08-02,524,C2,36,6.870229007633588
E17,B,bitcoin_sv,2021-08-02,763,C0,214,28.04718217562254
E17,B,bitcoin_sv,2021-08-02,763,C1,387,50.72083879423329
E17,B,bitcoin_sv,2021-08-02,763,C2,162,21.231979030144167
