dataset,cluster,mean,std,min,max
A,C0,57.67554347439881,26.118158509511165,0.0,88.07339449541284
A,C1,22.079444888790558,16.68715799468861,2.293577981651376,61.53846153846154
A,C2,20.245011636810638,28.258409420447585,6.130830155470813,96.42857142857143
B,C0,18.781669040343463,14.343245541446342,2.4346488980010252,57.59693003913895
B,C1,36.82345163996953,17.08286088641921,13.004484304932735,76.92307692307692
B,C2,44.394879319687014,22.45164914128575,15.384615384615385,84.23019431988043
W,C0,37.363882266989386,19.174846540503786,1.0688836104513064,65.03719447396386
W,C1,34.16929755927694,16.511028144577313,6.4133016627078385,62.86240220892775
W,C2,28.466820173733673,22.411521826779364,9.62800875273523,92.51781472684085
