event_id,dataset,cryptocurrency,event_date,n_tweets,cluster,count,percentage
E1,W,feathercoin,2013-06-07,261,C0,96,36.7816091954023
E1,W,feathercoin,2013-06-07,261,C1,24,9.195402298850574
E1,W,feathercoin,2013-06-07,261,C2,72,27.586206896551722
E1,W,feathercoin,2013-06-07,261,C3,56,21.455938697318008
E1,W,feathercoin,2013-06-07,261,C4,13,4.980842911877395
E1,A,feathercoin,2013-06-07,26,C0,12,46.15384615384615
E1,A,feathercoin,2013-06-07,26,C1,2,7.6923076923076925
E1,A,feathercoin,2013-06-07,26,C2,3,11.538461538461538
E1,A,feathercoin,2013-06-07,26,C3,6,23.076923076923077
E1,A,feathercoin,2013-06-07,26,C4,3,11.538461538461538
E1,B,feathercoin,2013-06-07,51,C0,12,23.529411764705884
E1,B,feathercoin,2013-06-07,51,C1,21,41.1764705882353
E1,B,feathercoin,2013-06-07,51,C2,3,5.882352941176471
E1,B,feathercoin,2013-06-07,51,C3,13,25.49019607843137
E1,B,feathercoin,2013-06-07,51,C4,2,3.9215686274509802
E2,W,bitcoin,2014-06-15,72458,C0,13797,19.041375693505202
E2,W,bitcoin,2014-06-15,72458,C1,3907,5.39208921030114
E2,W,bitcoin,2014-06-15,72458,C2,13289,18.34027988627895
E2,W,bitcoin,2014-06-15,72458,C3,37935,52.35446741560628
E2,W,bitcoin,2014-06-15,72458,C4,3530,4.871787794308427
E2,A,bitcoin,2014-06-15,3409,C0,457,13.405690818421824
E2,A,bitcoin,2014-06-15,3409,C1,98,2.8747433264887063
E2,A,bitcoin,2014-06-15,3409,C2,1043,30.595482546201232
E2,A,bitcoin,2014-06-15,3409,C3,1325,38.867703138750365
E2,A,bitcoin,2014-06-15,3409,C4,486,14.25638017013787
E2,B,bitcoin,2014-06-15,65408,C0,12192,18.639921722113503
E2,B,bitcoin,2014-06-15,65408,C1,3984,6.090998043052838
E2,B,bitcoin,2014-06-15,65408,C2,11116,16.99486301369863
E2,B,bitcoin,2014-06-15,65408,C3,35048,53.583659491193735
E2,B,bitcoin,2014-06-15,65408,C4,3068,4.6905577299412915
E3,W,verge,2018-04-03,6155,C0,2113,34.329813160032494
E3,W,verge,2018-04-03,6155,C1,1341,21.787164906580017
E3,W,verge,2018-04-03,6155,C2,453,7.359870024370431
E3,W,verge,2018-04-03,6155,C3,556,9.033306255077173
E3,W,verge,2018-04-03,6155,C4,1692,27.489845653939888
E3,A,verge,2018-04-03,599,C0,90,15.025041736227045
E3,A,verge,2018-04-03,599,C1,76,12.687813021702839
E3,A,verge,2018-04-03,599,C2,16,2.671118530884808
E3,A,verge,2018-04-03,599,C3,54,9.015025041736227
E3,A,verge,2018-04-03,599,C4,363,60.60100166944908
E3,B,verge,2018-04-03,7804,C0,976,12.506406970784214
E3,B,verge,2018-04-03,7804,C1,5268,67.50384418247053
E3,B,verge,2018-04-03,7804,C2,213,2.7293695540748333
E3,B,verge,2018-04-03,7804,C3,1206,15.453613531522297
E3,B,verge,2018-04-03,7804,C4,141,1.8067657611481291
E4,W,bitcoingold,2018-05-15,2449,C0,393,16.047366271947734
E4,W,bitcoingold,2018-05-15,2449,C1,364,14.86320947325439
E4,W,bitcoingold,2018-05-15,2449,C2,741,30.257247856267863
E4,W,bitcoingold,2018-05-15,2449,C3,770,31.441404654961207
E4,W,bitcoingold,2018-05-15,2449,C4,181,7.390771743568804
E4,A,bitcoingold,2018-05-15,1012,C0,64,6.324110671936759
E4,A,bitcoingold,2018-05-15,1012,C1,44,4.3478260869565215
E4,A,bitcoingold,2018-05-15,1012,C2,469,46.34387351778656
E4,A,bitcoingold,2018-05-15,1012,C3,274,27.07509881422925
E4,A,bitcoingold,2018-05-15,1012,C4,161,15.909090909090908
E4,B,bitcoingold,2018-05-15,1137,C0,196,17.23834652594547
E4,B,bitcoingold,2018-05-15,1137,C1,297,26.12137203166227
E4,B,bitcoingold,2018-05-15,1137,C2,236,20.756376429199648
E4,B,bitcoingold,2018-05-15,1137,C3,399,35.09234828496042
E4,B,bitcoingold,2018-05-15,1137,C4,9,0.7915567282321899
E5,W,verge,2018-05-20,3661,C0,1056,28.844577984157333
E5,W,verge,2018-05-20,3661,C1,747,20.40426113083857
E5,W,verge,2018-05-20,3661,C2,221,6.036602021305654
E5,W,verge,2018-05-20,3661,C3,434,11.854684512428298
E5,W,verge,2018-05-20,3661,C4,1203,32.85987435127014
E5,A,verge,2018-05-20,685,C0,123,17.956204379562045
E5,A,verge,2018-05-20,685,C1,65,9.489051094890511
E5,A,verge,2018-05-20,685,C2,23,3.3576642335766422
E5,A,verge,2018-05-20,685,C3,99,14.452554744525548
E5,A,verge,2018-05-20,685,C4,375,54.74452554744526
E5,B,verge,2018-05-20,4030,C0,1755,43.54838709677419
E5,B,verge,2018-05-20,4030,C1,930,23.076923076923077
E5,B,verge,2018-05-20,4030,C2,335,8.312655086848634
E5,B,verge,2018-05-20,4030,C3,371,9.205955334987593
E5,B,verge,2018-05-20,4030,C4,639,15.8560794044665
E6,W,litecoin_cash,2018-05-29,842,C0,32,3.8004750593824226
E6,W,litecoin_cash,2018-05-29,842,C1,632,75.05938242280286
E6,W,litecoin_cash,2018-05-29,842,C2,4,0.4750593824228028
E6,W,litecoin_cash,2018-05-29,842,C3,162,19.239904988123516
E6,W,litecoin_cash,2018-05-29,842,C4,12,1.4251781472684086
E6,A,litecoin_cash,2018-05-29,28,C0,1,3.5714285714285716
E6,A,litecoin_cash,2018-05-29,28,C1,23,82.14285714285714
E6,A,litecoin_cash,2018-05-29,28,C2,0,0.0
E6,A,litecoin_cash,2018-05-29,28,C3,3,10.714285714285714
E6,A,litecoin_cash,2018-05-29,28,C4,1,3.5714285714285716
E6,B,litecoin_cash,2018-05-29,1338,C0,99,7.3991031390134525
E6,B,litecoin_cash,2018-05-29,1338,C1,943,70.47832585949178
E6,B,litecoin_cash,2018-05-29,1338,C2,71,5.306427503736921
E6,B,litecoin_cash,2018-05-29,1338,C3,215,16.06875934230194
E6,B,litecoin_cash,2018-05-29,1338,C4,10,0.7473841554559043
E7,W,vertcoin,2018-10-11,1596,C0,582,36.46616541353384
E7,W,vertcoin,2018-10-11,1596,C1,324,20.30075187969925
E7,W,vertcoin,2018-10-11,1596,C2,203,12.719298245614034
E7,W,vertcoin,2018-10-11,1596,C3,255,15.977443609022556
E7,W,vertcoin,2018-10-11,1596,C4,232,14.536340852130326
E7,A,vertcoin,2018-10-11,382,C0,50,13.089005235602095
E7,A,vertcoin,2018-10-11,382,C1,53,13.87434554973822
E7,A,vertcoin,2018-10-11,382,C2,47,12.303664921465968
E7,A,vertcoin,2018-10-11,382,C3,66,17.277486910994764
E7,A,vertcoin,2018-10-11,382,C4,166,43.455497382198956
E7,B,vertcoin,2018-10-11,297,C0,143,48.148148148148145
E7,B,vertcoin,2018-10-11,297,C1,55,18.51851851851852
E7,B,vertcoin,2018-10-11,297,C2,32,10.774410774410775
E7,B,vertcoin,2018-10-11,297,C3,51,17.171717171717173
E7,B,vertcoin,2018-10-11,297,C4,16,5.3872053872053876
E8,W,ethereum_classic,2019-01-04,6840,C0,338,4.941520467836257
E8,W,ethereum_classic,2019-01-04,6840,C1,1240,18.128654970760234
E8,W,ethereum_classic,2019-01-04,6840,C2,281,4.108187134502924
E8,W,ethereum_classic,2019-01-04,6840,C3,569,8.318713450292398
E8,W,ethereum_classic,2019-01-04,6840,C4,4412,64.50292397660819
E8,A,ethereum_classic,2019-01-04,4465,C0,130,2.9115341545352744
E8,A,ethereum_classic,2019-01-04,4465,C1,593,13.28107502799552
E8,A,ethereum_classic,2019-01-04,4465,C2,224,5.016797312430011
