event_id,dataset,cryptocurrency,event_date,n_tweets,combination,count,percentage
E3,W,verge,2018-04-03,6155,Angry+Surprise,4,0.06498781478472786
E3,W,verge,2018-04-03,6155,Angry+Sad,34,0.5523964256701869
E3,W,verge,2018-04-03,6155,Surprise+Sad,2,0.03249390739236393
E3,A,verge,2018-04-03,599,Fear,229,38.230383973288816
E3,A,verge,2018-04-03,599,Surprise,45,7.512520868113523
E3,A,verge,2018-04-03,599,None,139,23.20534223706177
E3,A,verge,2018-04-03,599,Sad,50,8.347245409015025
E3,A,verge,2018-04-03,599,Angry,61,10.18363939899833
E3,A,verge,2018-04-03,599,Angry+Fear,9,1.5025041736227045
E3,A,verge,2018-04-03,599,Happy+Sad,2,0.333889816360601
E3,A,verge,2018-04-03,599,Sad+Fear,7,1.1686143572621035
E3,A,verge,2018-04-03,599,Happy,14,2.337228714524207
E3,A,verge,2018-04-03,599,Angry+Sad,34,5.676126878130217
E3,A,verge,2018-04-03,599,Surprise+Fear,7,1.1686143572621035
E3,A,verge,2018-04-03,599,Happy+Fear,2,0.333889816360601
E3,B,verge,2018-04-03,7804,Fear,1843,23.616094310609945
E3,B,verge,2018-04-03,7804,Happy,3992,51.15325474115838
E3,B,verge,2018-04-03,7804,Surprise,288,3.690415171706817
E3,B,verge,2018-04-03,7804,None,1118,14.325986673500768
E3,B,verge,2018-04-03,7804,Sad,299,3.831368528959508
E3,B,verge,2018-04-03,7804,Angry,41,0.5253716043054844
E3,B,verge,2018-04-03,7804,Sad+Fear,40,0.5125576627370579
E3,B,verge,2018-04-03,7804,Happy+Fear,107,1.37109174782163
E3,B,verge,2018-04-03,7804,Surprise+Fear,28,0.35879036391594055
E3,B,verge,2018-04-03,7804,Happy+Sad,13,0.16658124038954383
E3,B,verge,2018-04-03,7804,Angry+Fear,18,0.23065094823167606
E3,B,verge,2018-04-03,7804,Surprise+Sad,7,0.08969759097898514
E3,B,verge,2018-04-03,7804,Happy+Surprise,9,0.11532547411583803
E3,B,verge,2018-04-03,7804,Angry+Surprise,1,0.012813941568426449
E4,W,bitcoingold,2018-05-15,2449,None,693,28.29726418946509
E4,W,bitcoingold,2018-05-15,2449,Sad,270,11.024908125765618
E4,W,bitcoingold,2018-05-15,2449,Fear,806,32.91139240506329
E4,W,bitcoingold,2018-05-15,2449,Surprise,134,5.471621069824418
E4,W,bitcoingold,2018-05-15,2449,Angry,318,12.984891792568396
E4,W,bitcoingold,2018-05-15,2449,Sad+Fear,32,1.3066557778685177
E4,W,bitcoingold,2018-05-15,2449,Surprise+Fear,15,0.6124948958758677
E4,W,bitcoingold,2018-05-15,2449,Happy+Fear,18,0.7349938750510412
E4,W,bitcoingold,2018-05-15,2449,Happy,148,6.043282972641895
E4,W,bitcoingold,2018-05-15,2449,Angry+Fear,8,0.32666394446712943
E4,W,bitcoingold,2018-05-15,2449,Angry+Sad,2,0.08166598611678236
E4,W,bitcoingold,2018-05-15,2449,Happy+Surprise,4,0.16333197223356472
E4,W,bitcoingold,2018-05-15,2449,Surprise+Sad,1,0.04083299305839118
E4,A,bitcoingold,2018-05-15,1012,None,180,17.786561264822133
E4,A,bitcoingold,2018-05-15,1012,Sad,122,12.055335968379447
E4,A,bitcoingold,2018-05-15,1012,Fear,337,33.30039525691699
E4,A,bitcoingold,2018-05-15,1012,Surprise,40,3.952569169960474
E4,A,bitcoingold,2018-05-15,1012,Angry,304,30.039525691699605
E4,A,bitcoingold,2018-05-15,1012,Sad+Fear,10,0.9881422924901185
E4,A,bitcoingold,2018-05-15,1012,Surprise+Fear,5,0.49407114624505927
E4,A,bitcoingold,2018-05-15,1012,Angry+Fear,3,0.2964426877470356
E4,A,bitcoingold,2018-05-15,1012,Happy,9,0.8893280632411067
E4,A,bitcoingold,2018-05-15,1012,Happy+Fear,1,0.09881422924901186
E4,A,bitcoingold,2018-05-15,1012,Angry+Sad,1,0.09881422924901186
E4,B,bitcoingold,2018-05-15,1137,Angry,20,1.7590149516270888
E4,B,bitcoingold,2018-05-15,1137,None,400,35.180299032541775
E4,B,bitcoingold,2018-05-15,1137,Surprise,199,17.502198768689535
E4,B,bitcoingold,2018-05-15,1137,Fear,253,22.251539138082673
E4,B,bitcoingold,2018-05-15,1137,Sad,114,10.026385224274406
E4,B,bitcoingold,2018-05-15,1137,Happy+Sad,4,0.3518029903254178
E4,B,bitcoingold,2018-05-15,1137,Happy,94,8.267370272647318
E4,B,bitcoingold,2018-05-15,1137,Angry+Fear,3,0.2638522427440633
E4,B,bitcoingold,2018-05-15,1137,Happy+Fear,18,1.5831134564643798
E4,B,bitcoingold,2018-05-15,1137,Surprise+Fear,16,1.4072119613016711
E4,B,bitcoingold,2018-05-15,1137,Sad+Fear,9,0.7915567282321899
E4,B,bitcoingold,2018-05-15,1137,Happy+Surprise,7,0.6156552330694811
E5,W,verge,2018-05-20,3661,None,1333,36.41081671674406
E5,W,verge,2018-05-20,3661,Fear,1073,29.30893198579623
E5,W,verge,2018-05-20,3661,Surprise,431,11.77273968860967
E5,W,verge,2018-05-20,3661,Sad+Fear,35,0.9560229445506692
E5,W,verge,2018-05-20,3661,Sad,386,10.543567331330237
E5,W,verge,2018-05-20,3661,Happy,199,5.4356733133023765
E5,W,verge,2018-05-20,3661,Angry,98,2.676864244741874
E5,W,verge,2018-05-20,3661,Surprise+Fear,50,1.3657470636438132
E5,W,verge,2018-05-20,3661,Happy+Fear,23,0.6282436492761541
E5,W,verge,2018-05-20,3661,Angry+Fear,14,0.3824091778202677
E5,W,verge,2018-05-20,3661,Happy+Sad,9,0.24583447145588638
