event_id,dataset,cryptocurrency,event_date,n_tweets,emotion,count,percentage
E1,W,feathercoin,2013-06-07,261,Happy,15,5.747126436781609
E1,W,feathercoin,2013-06-07,261,Angry,10,3.8314176245210727
E1,W,feathercoin,2013-06-07,261,Surprise,12,4.597701149425287
E1,W,feathercoin,2013-06-07,261,Sad,39,14.942528735632184
E1,W,feathercoin,2013-06-07,261,Fear,43,16.47509578544061
E1,A,feathercoin,2013-06-07,26,Happy,0,0.0
E1,A,feathercoin,2013-06-07,26,Angry,7,26.923076923076923
E1,A,feathercoin,2013-06-07,26,Surprise,0,0.0
E1,A,feathercoin,2013-06-07,26,Sad,11,42.30769230769231
E1,A,feathercoin,2013-06-07,26,Fear,2,7.6923076923076925
E1,B,feathercoin,2013-06-07,51,Happy,5,9.803921568627452
E1,B,feathercoin,2013-06-07,51,Angry,1,1.9607843137254901
E1,B,feathercoin,2013-06-07,51,Surprise,1,1.9607843137254901
E1,B,feathercoin,2013-06-07,51,Sad,4,7.8431372549019605
E1,B,feathercoin,2013-06-07,51,Fear,11,21.568627450980394
E2,W,bitcoin,2014-06-15,72458,Happy,10155,14.015015595241382
E2,W,bitcoin,2014-06-15,72458,Angry,1606,2.2164564299318226
E2,W,bitcoin,2014-06-15,72458,Surprise,5763,7.953573104419112
E2,W,bitcoin,2014-06-15,72458,Sad,7158,9.878826354577825
E2,W,bitcoin,2014-06-15,72458,Fear,28713,39.62709431670761
E2,A,bitcoin,2014-06-15,3409,Happy,89,2.610736286300968
E2,A,bitcoin,2014-06-15,3409,Angry,275,8.066881783514226
E2,A,bitcoin,2014-06-15,3409,Surprise,126,3.696098562628337
E2,A,bitcoin,2014-06-15,3409,Sad,276,8.096215899090643
E2,A,bitcoin,2014-06-15,3409,Fear,2282,66.94045174537987
E2,B,bitcoin,2014-06-15,65408,Happy,12205,18.6597969667319
E2,B,bitcoin,2014-06-15,65408,Angry,1747,2.6709271037181996
E2,B,bitcoin,2014-06-15,65408,Surprise,7494,11.457314090019569
E2,B,bitcoin,2014-06-15,65408,Sad,9346,14.288772015655578
E2,B,bitcoin,2014-06-15,65408,Fear,24252,37.07803326810176
E3,W,verge,2018-04-03,6155,Happy,498,8.09098294069862
E3,W,verge,2018-04-03,6155,Angry,350,5.686433793663688
E3,W,verge,2018-04-03,6155,Surprise,984,15.987002437043055
E3,W,verge,2018-04-03,6155,Sad,751,12.201462225832657
E3,W,verge,2018-04-03,6155,Fear,2244,36.45816409423233
E3,A,verge,2018-04-03,599,Happy,18,3.005008347245409
E3,A,verge,2018-04-03,599,Angry,104,17.362270450751254
E3,A,verge,2018-04-03,599,Surprise,52,8.681135225375627
E3,A,verge,2018-04-03,599,Sad,93,15.525876460767947
E3,A,verge,2018-04-03,599,Fear,254,42.404006677796325
E3,B,verge,2018-04-03,7804,Happy,4121,52.80625320348539
E3,B,verge,2018-04-03,7804,Angry,60,0.7688364941055869
E3,B,verge,2018-04-03,7804,Surprise,333,4.267042542286007
E3,B,verge,2018-04-03,7804,Sad,359,4.600205023065095
E3,B,verge,2018-04-03,7804,Fear,2036,26.089185033316248
E4,W,bitcoingold,2018-05-15,2449,Happy,170,6.9416088199265005
E4,W,bitcoingold,2018-05-15,2449,Angry,328,13.393221723152307
E4,W,bitcoingold,2018-05-15,2449,Surprise,154,6.288280930992242
E4,W,bitcoingold,2018-05-15,2449,Sad,305,12.45406288280931
E4,W,bitcoingold,2018-05-15,2449,Fear,879,35.89220089832585
E4,A,bitcoingold,2018-05-15,1012,Happy,10,0.9881422924901185
E4,A,bitcoingold,2018-05-15,1012,Angry,308,30.434782608695652
E4,A,bitcoingold,2018-05-15,1012,Surprise,45,4.446640316205533
E4,A,bitcoingold,2018-05-15,1012,Sad,133,13.142292490118576
E4,A,bitcoingold,2018-05-15,1012,Fear,356,35.17786561264822
E4,B,bitcoingold,2018-05-15,1137,Happy,123,10.817941952506596
E4,B,bitcoingold,2018-05-15,1137,Angry,23,2.0228671943711523
E4,B,bitcoingold,2018-05-15,1137,Surprise,222,19.525065963060687
E4,B,bitcoingold,2018-05-15,1137,Sad,127,11.169744942832015
E4,B,bitcoingold,2018-05-15,1137,Fear,299,26.297273526824977
E5,W,verge,2018-05-20,3661,Happy,237,6.4736410816716745
E5,W,verge,2018-05-20,3661,Angry,116,3.1685331876536464
E5,W,verge,2018-05-20,3661,Surprise,490,13.38432122370937
E5,W,verge,2018-05-20,3661,Sad,431,11.77273968860967
E5,W,verge,2018-05-20,3661,Fear,1195,32.641354821087134
E5,A,verge,2018-05-20,685,Happy,33,4.817518248175182
E5,A,verge,2018-05-20,685,Angry,69,10.072992700729927
E5,A,verge,2018-05-20,685,Surprise,30,4.37956204379562
E5,A,verge,2018-05-20,685,Sad,57,8.321167883211679
E5,A,verge,2018-05-20,685,Fear,284,41.45985401459854
E5,B,verge,2018-05-20,4030,Happy,419,10.397022332506204
E5,B,verge,2018-05-20,4030,Angry,54,1.3399503722084367
E5,B,verge,2018-05-20,4030,Surprise,469,11.63771712158809
E5,B,verge,2018-05-20,4030,Sad,510,12.655086848635236
E5,B,verge,2018-05-20,4030,Fear,1225,30.397022332506204
E6,W,litecoin_cash,2018-05-29,842,Happy,52,6.175771971496437
E6,W,litecoin_cash,2018-05-29,842,Angry,1,0.1187648456057007
E6,W,litecoin_cash,2018-05-29,842,Surprise,85,10.09501187648456
E6,W,litecoin_cash,2018-05-29,842,Sad,37,4.394299287410926
E6,W,litecoin_cash,2018-05-29,842,Fear,483,57.36342042755344
E6,A,litecoin_cash,2018-05-29,28,Happy,0,0.0
E6,A,litecoin_cash,2018-05-29,28,Angry,0,0.0
E6,A,litecoin_cash,2018-05-29,28,Surprise,2,7.142857142857143
E6,A,litecoin_cash,2018-05-29,28,Sad,0,0.0
E6,A,litecoin_cash,2018-05-29,28,Fear,5,17.857142857142858
E6,B,litecoin_cash,2018-05-29,1338,Happy,47,3.5127055306427506
E6,B,litecoin_cash,2018-05-29,1338,Angry,9,0.672645739910314
E6,B,litecoin_cash,2018-05-29,1338,Surprise,111,8.295964125560538
E6,B,litecoin_cash,2018-05-29,1338,Sad,76,5.680119581464873
E6,B,litecoin_cash,2018-05-29,1338,Fear,766,57.24962630792227
E7,W,vertcoin,2018-10-11,1596,Happy,128,8.020050125313283
E7,W,vertcoin,2018-10-11,1596,Angry,51,3.1954887218045114
