event_id,dataset,cryptocurrency,event_date,n_tweets,emotion,mean_probability
E6,A,litecoin_cash,2018-05-29,28,Sad,0.08439816747392927
E6,A,litecoin_cash,2018-05-29,28,Fear,0.19943278176443918
E6,B,litecoin_cash,2018-05-29,1338,Happy,0.08241684293800405
E6,B,litecoin_cash,2018-05-29,1338,Angry,0.04565085441720503
E6,B,litecoin_cash,2018-05-29,1338,Surprise,0.1467454372856471
E6,B,litecoin_cash,2018-05-29,1338,Sad,0.158595669429933
E6,B,litecoin_cash,2018-05-29,1338,Fear,0.5739950898516873
E7,W,vertcoin,2018-10-11,1596,Happy,0.1487903894487778
E7,W,vertcoin,2018-10-11,1596,Angry,0.14003260011661023
E7,W,vertcoin,2018-10-11,1596,Surprise,0.24064198233429948
E7,W,vertcoin,2018-10-11,1596,Sad,0.29383241174215063
E7,W,vertcoin,2018-10-11,1596,Fear,0.389032851185715
E7,A,vertcoin,2018-10-11,382,Happy,0.050982860526489336
E7,A,vertcoin,2018-10-11,382,Angry,0.24226107272802222
E7,A,vertcoin,2018-10-11,382,Surprise,0.34370552307648183
E7,A,vertcoin,2018-10-11,382,Sad,0.37515125474380573
E7,A,vertcoin,2018-10-11,382,Fear,0.4612029547466657
E7,B,vertcoin,2018-10-11,297,Happy,0.23683874454562512
E7,B,vertcoin,2018-10-11,297,Angry,0.09976978073216448
E7,B,vertcoin,2018-10-11,297,Surprise,0.23988009101212626
E7,B,vertcoin,2018-10-11,297,Sad,0.267645259497543
E7,B,vertcoin,2018-10-11,297,Fear,0.3251391990417583
E8,W,ethereum_classic,2019-01-04,6840,Happy,0.12544013160711143
E8,W,ethereum_classic,2019-01-04,6840,Angry,0.16290892919427472
E8,W,ethereum_classic,2019-01-04,6840,Surprise,0.2810805401955432
E8,W,ethereum_classic,2019-01-04,6840,Sad,0.2957625934952184
E8,W,ethereum_classic,2019-01-04,6840,Fear,0.5463864599752147
E8,A,ethereum_classic,2019-01-04,4465,Happy,0.08386067791455003
E8,A,ethereum_classic,2019-01-04,4465,Angry,0.17114652237726619
E8,A,ethereum_classic,2019-01-04,4465,Surprise,0.2661855306497213
E8,A,ethereum_classic,2019-01-04,4465,Sad,0.28769888084919965
E8,A,ethereum_classic,2019-01-04,4465,Fear,0.5664405335771276
E8,B,ethereum_classic,2019-01-04,1105,Happy,0.14913412780243887
E8,B,ethereum_classic,2019-01-04,1105,Angry,0.17704443435323725
E8,B,ethereum_classic,2019-01-04,1105,Surprise,0.30815212758957533
E8,B,ethereum_classic,2019-01-04,1105,Sad,0.3542363650119143
E8,B,ethereum_classic,2019-01-04,1105,Fear,0.5059664506178636
E9,W,litecoin_cash,2019-07-03,462,Happy,0.10434001993823361
E9,W,litecoin_cash,2019-07-03,462,Angry,0.08301484120356573
E9,W,litecoin_cash,2019-07-03,462,Surprise,0.17301410230207237
E9,W,litecoin_cash,2019-07-03,462,Sad,0.24334147791841845
E9,W,litecoin_cash,2019-07-03,462,Fear,0.46774261648004706
E9,A,litecoin_cash,2019-07-03,58,Happy,0.018295473065869563
E9,A,litecoin_cash,2019-07-03,58,Angry,0.026026156441918736
E9,A,litecoin_cash,2019-07-03,58,Surprise,0.07519939952883227
E9,A,litecoin_cash,2019-07-03,58,Sad,0.15567308458788642
E9,A,litecoin_cash,2019-07-03,58,Fear,0.4297484365002862
E9,B,litecoin_cash,2019-07-03,542,Happy,0.11560752547974956
E9,B,litecoin_cash,2019-07-03,542,Angry,0.0760550607834355
E9,B,litecoin_cash,2019-07-03,542,Surprise,0.17195095567245766
E9,B,litecoin_cash,2019-07-03,542,Sad,0.2022523369736337
E9,B,litecoin_cash,2019-07-03,542,Fear,0.5341547863949709
E10,W,vertcoin,2019-11-30,457,Happy,0.06880206704400561
E10,W,vertcoin,2019-11-30,457,Angry,0.14140472344287897
E10,W,vertcoin,2019-11-30,457,Surprise,0.248842021307747
E10,W,vertcoin,2019-11-30,457,Sad,0.2984396378373161
E10,W,vertcoin,2019-11-30,457,Fear,0.45726185450146967
E10,A,vertcoin,2019-11-30,378,Happy,0.04336674684885318
E10,A,vertcoin,2019-11-30,378,Angry,0.14634852308444876
E10,A,vertcoin,2019-11-30,378,Surprise,0.2441963859336086
E10,A,vertcoin,2019-11-30,378,Sad,0.2928485012559033
E10,A,vertcoin,2019-11-30,378,Fear,0.4797849478545012
E10,B,vertcoin,2019-11-30,65,Happy,0.2467590102352775
E10,B,vertcoin,2019-11-30,65,Angry,0.10369127339755113
E10,B,vertcoin,2019-11-30,65,Surprise,0.24895037957108937
E10,B,vertcoin,2019-11-30,65,Sad,0.22345163249052488
E10,B,vertcoin,2019-11-30,65,Fear,0.32359440785187943
E11,W,bitcoingold,2020-01-22,941,Happy,0.06960622632161463
E11,W,bitcoingold,2020-01-22,941,Angry,0.319920651527571
E11,W,bitcoingold,2020-01-22,941,Surprise,0.25002293074929116
E11,W,bitcoingold,2020-01-22,941,Sad,0.38780308808581104
E11,W,bitcoingold,2020-01-22,941,Fear,0.40184870232431086
E11,A,bitcoingold,2020-01-22,594,Happy,0.03873190524602177
E11,A,bitcoingold,2020-01-22,594,Angry,0.44869766692922575
E11,A,bitcoingold,2020-01-22,594,Surprise,0.2471094103373261
E11,A,bitcoingold,2020-01-22,594,Sad,0.4078685322193184
E11,A,bitcoingold,2020-01-22,594,Fear,0.3896672886228722
E11,B,bitcoingold,2020-01-22,293,Happy,0.1333013654975761
E11,B,bitcoingold,2020-01-22,293,Angry,0.1768622445165094
E11,B,bitcoingold,2020-01-22,293,Surprise,0.37074530938379596
E11,B,bitcoingold,2020-01-22,293,Sad,0.2542740305942887
E11,B,bitcoingold,2020-01-22,293,Fear,0.39159972675831245
E12,W,bitcoingold,2020-07-01,712,Happy,0.1328292198144318
E12,W,bitcoingold,2020-07-01,712,Angry,0.11233669770567604
E12,W,bitcoingold,2020-07-01,712,Surprise,0.21431692430142607
E12,W,bitcoingold,2020-07-01,712,Sad,0.3166343414046791
E12,W,bitcoingold,2020-07-01,712,Fear,0.596603183264143
E12,A,bitcoingold,2020-07-01,218,Happy,0.03602430730237873
E12,A,bitcoingold,2020-07-01,218,Angry,0.07825581141568105
E12,A,bitcoingold,2020-07-01,218,Surprise,0.1947539268283669
E12,A,bitcoingold,2020-07-01,218,Sad,0.15906233415691132
E12,A,bitcoingold,2020-07-01,218,Fear,0.8085359695854537
E12,B,bitcoingold,2020-07-01,482,Happy,0.19477839613356532
E12,B,bitcoingold,2020-07-01,482,Angry,0.14471032702329248
E12,B,bitcoingold,2020-07-01,482,Surprise,0.2863951496068867
E12,B,bitcoingold,2020-07-01,482,Sad,0.32062582801486444
E12,B,bitcoingold,2020-07-01,482,Fear,0.4438856848789943
E13,W,ethereum_classic,2020-07-28,1691,Happy,0.15127232119150236
E13,W,ethereum_classic,2020-07-28,1691,Angry,0.1646269520382286
E13,W,ethereum_classic,2020-07-28,1691,Surprise,0.2502732416499232
E13,W,ethereum_classic,2020-07-28,1691,Sad,0.2790786543236478
E13,W,ethereum_classic,2020-07-28,1691,Fear,0.459334241223011
E13,A,ethereum_classic,2020-07-28,900,Happy,0.07738027380572425
E13,A,ethereum_classic,2020-07-28,900,Angry,0.17428399509853787
E13,A,ethereum_classic,2020-07-28,900,Surprise,0.27211700942781236
E13,A,ethereum_classic,2020-07-28,900,Sad,0.25486035770840115
E13,A,ethereum_classic,2020-07-28,900,Fear,0.4496719580226474
E13,B,ethereum_classic,2020-07-28,246,Happy,0.2669042804376866
E13,B,ethereum_classic,2020-07-28,246,Angry,0.14623461409312924
E13,B,ethereum_classic,2020-07-28,246,Surprise,0.16410787706452656
E13,B,ethereum_classic,2020-07-28,246,Sad,0.2930577111438038
E13,B,ethereum_classic,2020-07-28,246,Fear,0.4500381965947345
E14,W,ethereum_classic,2020-08-04,1649,Happy,0.13715341298633665
E14,W,ethereum_classic,2020-08-04,1649,Angry,0.1913964055103559
E14,W,ethereum_classic,2020-08-04,1649,Surprise,0.2539782042645049
E14,W,ethereum_classic,2020-08-04,1649,Sad,0.3326345580574091
E14,W,ethereum_classic,2020-08-04,1649,Fear,0.4634878023817295
E14,A,ethereum_classic,2020-08-04,967,Happy,0.09275521653884446
E14,A,ethereum_classic,2020-08-04,967,Angry,0.20025506926914283
E14,A,ethereum_classic,2020-08-04,967,Surprise,0.26321837623462063
E14,A,ethereum_classic,2020-08-04,967,Sad,0.2699204721519841
E14,A,ethereum_classic,2020-08-04,967,Fear,0.4637128466041036
E14,B,ethereum_classic,2020-08-04,215,Happy,0.25014758664508197
E14,B,ethereum_classic,2020-08-04,215,Angry,0.1464427343634672
E14,B,ethereum_classic,2020-08-04,215,Surprise,0.21870264230772507
E14,B,ethereum_classic,2020-08-04,215,Sad,0.31411013492318085
E14,B,ethereum_classic,2020-08-04,215,Fear,0.4422469560490098
E15,W,ethereum_classic,2020-08-28,1121,Happy,0.11550029288282838
E15,W,ethereum_classic,2020-08-28,1121,Angry,0.27324466592151203
E15,W,ethereum_classic,2020-08-28,1121,Surprise,0.2621557687547965
E15,W,ethereum_classic,2020-08-28,1121,Sad,0.3199558142891667
